,English,Bengala
0,na,না—
1,kore,করি
2,theke,থেকে 
3,ai,আই
4,ea,এ
5,ou',ও
6,hoi,হই
7,aik,এক
8,nie,নিই
9,oi,ঐ
10,hoiche,হয়েছে
11,kintu, কিন্তু
12,hove,হবে
13,kora,কড়া
14,songe,সঙ্গে
15,sei,সেই
16,deen,দিন
17,ar,এর
18,jei,যেই
19,teeni,তিনি
20,tar,তার
21,bole,বলে
22,ta,টা
23,jonno,জন্য
24,konou,কোনও
25,taar,তাহার
26,volen,বলেন
27,ewong,এবং
28,poolis,পুলিশ
29,korte,কোর্টে
30,ovijog,অভিযোগে
31,kotha,কথা—
32,akti,একটি
33,chilo,ছিল
34,sob,সব
35,suru,শুরু
36,dabi,দাবি:
37,pore,পড়ে
38,jai,যায়—
39,modhye,মধ্যেও
40,tobe,তবে 
41,se,শে
42,taaka,টাকা
43,deoa,দেওয়া—
44,pr,প্র:
45,bhabe,ভাবে
46,kichhu,কিছু
47,die,দিই
48,hoche,হচ্ছে
49,koren,করেন—
50,bar,বার
51,royeche,রয়েছে—
52,ba,বাঁ
53,aage,আগে
54,ki,কি
55,kaj,কাজ
56,arou,আরও
57,neyi,নেই
58,noi,নয়ই
59,kache,কাঁচি
60,giyeche,গিয়েছে
61,tander,তাঁদের
62,to,টো
63,janaan,জানান
64,gelo,গেল
65,somoy,সময়
66,bochhor,বছর
67,taai,তাই
68,holo,হোল
69,kar,কর
70,gato,গত
71,ekhun,এখন
72,moton,মতন
73,dekha,দেখা
74,daleir,দলের
75,khobor,খবর:
76,toiri,তৈরি
77,hole,হলে
78,akta,একটা
79,tara,তাড়া
80,birudhe,বিরুদ্ধে
81,ditae,দিতেই
82,pare,পেরে
83,jan,যান
84,vashi,বেশি
85,amara,আমরা
86,amar,আমার
87,praye,প্রায়
88,amader,আমাদের
89,dike,দিকে
90,nuton,নতুন
91,mone,মনে
92,trinomul,তৃণমূল
93,onaik,অনেক
94,aami,আমি
95,des,দেশ
96,prthom,প্রথম
97,hoyecilo,হয়েছিল
98,onno,অন্ন
99,dore,দূরে
100,dui,দুই
101,korechen,করছেন
102,vibhinno,বিভিন্ন
103,giye,গিয়ে
104,ti,টি
105,emon,এমন
106,projonto,পর্যন্ত
107,elakaye,এলাকায়
108,bhalo,ভাল
109,chhilen,ছিলেন
110,korechhe,করেছে
111,taake,তাঁকে
112,tin,তিন
113,keuo,কেউ
114,rajyo,রাজ্য
115,poolisher,পুলিশের
116,taader,তাদের
117,hoyni,হয়নি
118,ovoshyo,অবশ্য
119,r,ঘৃণা
120,keno,কেন
121,nam,নাম
122,aavar,আবার
123,aachhe,আছে
124,shoho,সহ
125,hote,হতে
126,sthanio,স্থানীয়দের
127,koek,কয়েক
128,thekeyi,থেকেই
129,hathe,হাতে
130,shekhane,সেখানে
131,trinomuler,তৃণমূলের
132,boro,বরো
133,sarkar,সরকারে
134,ekhuno,এখনও
135,fale,ফলে
136,aaj,আজ
137,byabosta,ব্যবস্থা
138,theek,ঠিক
139,den,দেন
140,jana,জানা
141,dewar,দেওয়ার
142,shudhu,শুধু
143,besh,বেছে
144,elakar,এলাকার
145,jabe,যাবে
146,toole,তুলে
147,hazar,হাজার
148,tokon,তখন
149,shobhapoti,সভাপতি
150,chole,চলে
151,bondo,বোধ
152,nijer,নিজের
153,za,যা
154,dekhe,দেখে
155,kongres,কংগ্রেস
156,sutre,সুত্রে
157,kothaye,কথায়
158,shamne,সামনে
